# x(kpc) y(kpc) z(kpc)
-2.958900 2.014978 0.227773 
1.010808 3.667300 1.187039 
-4.919523 -2.219203 0.066190 
5.880844 -0.233800 0.690304 
1.816949 -0.028734 -0.304608 
-0.974676 -6.391333 -0.254761 
-1.437061 0.364702 -0.437029 
0.752665 -3.802894 -0.439773 
-5.513630 7.728054 0.124576 
-5.664783 -10.173198 0.671190 
4.753386 3.926770 0.853199 
-5.625383 -1.692313 1.025661 
-0.911515 4.893318 -0.071375 
1.033245 4.945048 -0.532029 
0.087886 -2.100711 0.414853 
4.013223 -13.548514 0.248346 
-1.249855 -3.202005 -0.241734 
-0.447618 5.206264 -0.913037 
4.825797 -5.247773 -1.284142 
-1.432627 -8.703993 -1.348441 
-4.262933 -8.507644 0.795856 
4.675241 1.657225 0.024683 
-3.409208 0.004141 1.079859 
-0.680063 -0.426817 0.620966 
-5.519295 -6.352051 0.066604 
3.260546 -7.502672 0.459447 
-8.298815 -5.924359 0.417746 
2.762400 -0.326917 -0.382273 
1.952173 -1.944449 0.117735 
7.967347 7.503694 -0.699314 
-5.830660 6.297516 0.365357 
-2.466746 6.855915 -0.766955 
0.134793 -3.149880 0.286287 
0.839788 0.872227 -1.128528 
-9.705387 -4.373806 0.088103 
1.687190 -2.712250 0.093245 
4.148707 -3.033160 -0.088771 
6.294897 -0.359653 0.123685 
0.700763 1.329821 0.336612 
-8.099561 6.682854 -0.782489 
6.502003 5.703531 -0.560454 
-4.595886 -16.982149 0.823174 
-3.653041 3.364799 0.326386 
6.481720 6.038650 0.793489 
-1.750135 -8.550361 0.958925 
-9.565326 0.138878 -0.120491 
2.361204 -3.596003 0.130174 
10.537861 -4.828093 -0.607651 
9.327035 2.983551 -0.184761 
0.807880 3.077699 -0.981506 
0.902292 -0.401768 1.233698 
4.448584 5.571175 -2.508388 
-1.284852 -1.061959 -0.039360 
-0.260704 0.541539 -0.359433 
5.744120 -0.465033 0.514241 
-0.669830 -0.467974 0.123021 
2.248583 -1.533389 -0.417680 
4.916835 -1.266522 -0.164803 
-2.614398 -8.582398 0.579648 
11.533099 -0.611214 -0.834990 
-1.628342 4.084955 0.139589 
-11.753651 5.193396 0.328882 
11.061861 -8.111645 -0.686214 
-7.576467 1.639267 0.502187 
-7.786256 0.589131 -0.348645 
-7.128951 -8.738259 -0.512673 
3.499992 2.374601 0.362659 
7.751917 2.213675 -0.178398 
13.749161 0.312945 0.273981 
3.776148 8.307471 0.164032 
4.812939 9.789329 -0.002072 
1.682901 4.139067 -0.308320 
-7.985367 11.319522 -0.165128 
4.146524 -0.275161 -0.101865 
3.606574 -7.661739 -0.464524 
-0.634673 0.030704 -0.281065 
-0.750558 12.846640 -0.399535 
8.151483 5.588565 -0.807002 
1.371232 -1.490028 0.132413 
1.946913 -2.117174 -0.140943 
-1.280532 -0.822971 0.569024 
-7.199477 -2.334688 -0.319495 
1.620281 0.367817 0.369344 
-0.756220 -7.589709 -0.289708 
5.331281 0.558244 0.123094 
0.142985 -4.798740 0.091685 
3.401043 5.230346 0.304885 
11.827017 -2.209742 -0.046612 
0.445212 -0.964235 -0.032758 
1.042685 0.289871 -0.729753 
10.010146 -3.854202 -0.260233 
-9.730589 -6.755574 -0.229349 
1.913190 3.788614 -0.544502 
-1.579181 -1.110470 -0.278892 
3.366202 -7.568682 0.102685 
4.043697 0.920975 -1.385318 
0.018972 -7.283831 0.089729 
-2.750397 0.830559 -0.514620 
1.917325 2.919729 -0.753748 
-3.535267 -8.504777 -0.261069 
-16.980896 -0.638822 -0.322278 
6.519715 12.289434 -1.306716 
-4.599343 2.127055 0.440238 
1.421201 -8.850111 0.577712 
5.537178 4.875232 0.145919 
8.524796 -6.468516 0.500505 
9.581224 -4.858192 0.673781 
-3.166143 2.788875 -0.325770 
-1.806405 4.468523 1.688009 
12.300066 -0.868255 -0.138569 
0.170195 1.536466 0.099139 
4.487965 9.055770 -0.305322 
-4.020973 3.261549 -0.149111 
4.254544 -5.697200 0.015738 
-5.491828 4.323979 -0.725679 
-4.194428 1.728652 -0.183615 
-4.058921 -1.426645 0.547061 
-1.884960 -2.694157 -0.156143 
1.784747 2.176317 -1.123662 
-4.092601 -11.535784 0.059329 
-11.547637 21.602244 0.196399 
2.882774 3.109715 0.466958 
1.865920 -6.528663 0.079274 
9.180616 3.952579 -1.089875 
-1.221954 -8.415492 0.771305 
-0.701680 -4.762699 0.845676 
2.336451 5.325158 -1.722209 
-4.443245 0.412613 0.625801 
-2.076710 3.334727 -0.169896 
-1.738109 5.402242 0.301834 
2.030694 -6.983868 0.201502 
-9.244271 14.595533 -0.336359 
3.376024 8.286864 0.455523 
2.218164 -0.638318 -0.617384 
3.962977 4.007453 -0.409427 
3.599646 18.003615 0.513792 
-2.701617 5.398663 0.432126 
-2.401250 7.223021 0.159824 
0.361862 0.583580 -0.196770 
-6.170765 2.174330 -0.124738 
4.869348 7.030014 0.640472 
-2.671833 -17.492839 -0.029613 
-5.186143 -0.984763 -0.211663 
8.790697 -0.993275 0.373319 
-4.456770 -0.227353 -0.378996 
1.735212 -2.665305 -0.089514 
-7.253322 -6.696365 0.022672 
-3.118972 1.958007 0.176009 
5.573279 -5.548835 -0.378276 
-0.481660 -3.585254 1.728867 
-5.073449 -5.699688 -0.154945 
0.544840 0.054624 -0.069039 
-0.683635 -0.395328 -0.059438 
1.276120 0.398306 -0.130155 
3.724531 -5.699312 -0.900375 
3.565825 -10.980005 -0.495575 
9.577724 -0.314529 -0.064295 
0.020273 -2.105415 0.033669 
-10.219339 5.400601 0.314710 
2.590533 -1.359503 0.973124 
2.729017 -1.972272 -0.259081 
3.693089 9.383158 0.410341 
-11.135096 0.133653 -0.417855 
-1.030230 -1.874860 -0.397788 
-9.478596 10.343868 -0.076721 
0.269372 3.647460 0.676051 
-1.697574 12.763914 -0.166293 
-1.177710 -0.077510 0.254482 
9.793039 4.116171 2.734832 
-3.553824 3.759689 -0.061367 
-0.889992 -0.456979 0.674793 
-8.444049 -3.793334 -0.911308 
2.849623 -0.773228 0.424936 
-11.746869 -10.028553 -1.564241 
-0.312346 3.328559 -0.861613 
-2.339941 8.511131 -0.322005 
4.650956 -1.080519 0.996883 
3.152967 -4.794210 0.212263 
1.738438 -3.109217 -0.201996 
-1.565705 0.931619 0.661126 
24.779840 -3.871486 0.736600 
-4.094175 -1.319089 0.956476 
-2.985865 2.913644 0.421220 
2.935425 9.321060 0.973297 
5.618522 4.520602 -0.551817 
-6.138939 0.990315 -1.826186 
-8.027516 -8.108412 -1.257271 
-0.759954 -5.552075 -0.706515 
3.542594 -7.574545 -0.438241 
1.382073 -2.360618 1.287566 
1.364581 -2.571067 -0.948467 
0.471806 -11.875885 -0.089522 
2.126610 -2.703955 -0.289612 
5.864786 -11.217889 2.083846 
-3.811049 -2.081521 -1.402669 
1.404454 0.157453 -0.254962 
4.526328 3.503420 0.403837 
-5.095367 3.478562 -0.270411 
-0.848175 -2.504580 -1.039068 
4.716757 7.042906 0.256869 
10.198994 -2.961120 0.900427 
-6.348420 3.689685 0.461760 
0.591263 2.927928 0.199574 
6.066121 -1.626237 -1.173833 
-8.134824 -2.302275 1.377117 
5.674240 -2.693503 0.133308 
-0.004010 -4.198083 -0.349165 
7.134678 6.792978 0.192775 
0.813374 2.019066 0.087245 
3.484625 10.690295 -0.282881 
2.747949 1.446828 0.258135 
0.104601 2.288464 -0.250498 
2.253765 -13.840530 -0.581227 
6.410006 3.917404 -0.835907 
8.132829 0.185341 -0.764517 
-11.109996 -18.169034 -0.348263 
8.145704 4.161657 0.837553 
19.868118 11.560276 -0.369197 
5.013639 2.142613 0.598285 
-0.176368 -3.174915 0.082019 
-2.482439 -5.699026 0.139526 
-3.092717 3.243899 -0.076643 
-0.776572 -2.754742 -0.528045 
